"Slug","Featured","Project name","Year","Service","Category","Tool","Overview","Preview","Image 1","Image 1:alt","Image 2","Image 2:alt","Image 3","Image 3:alt","Image 4","Image 4:alt","Image 5","Image 5:alt","Image 6","Image 6:alt","Image 7","Image 7:alt","Image 8","Image 8:alt","Image 9","Image 9:alt","Image 10","Image 10:alt","Image 11","Image 11:alt","Image 12","Image 12:alt","Image 13","Image 13:alt","Video","Video 2","Video 3","Video 4","Video 5","Video 6","Link","Link 2","Link 3","Link 4","Link 5"
"stop-motion","true","Stop Motion Color Project","2024","Animation","Motion Design, Color","Stop Motion Studio","Two companion shorts exploring journey and motion, built frame-by-frame in Stop Motion Studio. The first follows a lone planet drifting through a starry field toward connection, using deep indigo and soft white accents for a calm, spacey tone. The second distills movement to rhythm and form with a monochrome blue palette and looping shapes that build energy. Together, they pair narrative and abstraction with consistent layout, tight framing, and steady pacing for a clean, cohesive look.","","https://framerusercontent.com/images/ZCHqeIL0aGAhcvwAAgMIXBiD8A.jpg","","https://framerusercontent.com/images/mdqvIipPaUGuVbRDcj0LDQ8WZQ.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","https://framerusercontent.com/assets/AIfE6QPXeRZwo5tXFT8s3YYxtY.mp4","https://framerusercontent.com/assets/ZLGWRXp5KpNaLwIbEibXqCyg.mp4","","","","","","",""
"city-scapes","true","City Scapes","2024","Brand Design","Branding, UI/UX, Case Study","Ilustrator, Figma","I built a city identity system from research through final assets. I selected Tokyo and captured its mix of tradition and neon modernity through mood boards, visual audits, and type studies. The system starts with a clear grid and an 8-pt spacing scale, plus a classic red and blue palette for high contrast and instant recognition. I designed a cohesive icon set (landmarks, food, transit, culture), then extended the look into banners, postcards, and a UI kit for a travel app with cards, tabs, and maps. Typography follows a strict hierarchy for wayfinding and accessibility checks ensured readable color contrast. Everything shares consistent margins, padding, and component states so print and digital feel like one brand.
Scroll the project to see the full case study and the linked prototypes.","","https://framerusercontent.com/images/uQDljNpGMrJrMYPMEarP6PeuyPI.jpg","","https://framerusercontent.com/images/5ycVVs7bmtGsCxvbB7u4fwS4Q.jpg","","https://framerusercontent.com/images/GHQDJYEiH4J8U7kG9a4MpFKEwoY.jpg","","https://framerusercontent.com/images/VqoInM3iC0Ygu5YUO89fiG5c60.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neon-photo","true","Neon Photography","2024","Photography","Photo, Color","DSLR, Lightroom","A color and mood study from a college photography course. I built a simple in-studio rig: a mirror as the base, a neon light placed over it, and a rotation of reflective materials to bend and multiply the glow. By changing angles and distance, the reflections created layered gradients that echo the pull of the Northern Lights. I shot on a Canon and finished in Adobe Lightroom, dialing contrast and color harmony while keeping the in-camera effects intact. The result is a tight series that draws the viewer in with luminous reflections and clean, graphic compositions.","","https://framerusercontent.com/images/0bWiKYviuwCGsRAKmnavPNAkMw.jpg","","https://framerusercontent.com/images/TIFxb9b7xBbcD68YYtccS6WRQ.jpg","","https://framerusercontent.com/images/mNoRtTTXhYaFN663Noqt35yAdE.jpg","","https://framerusercontent.com/images/XiMjTW3TLV4BDRAPTtiONr1sn0.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"room-illustration","true","Room Illustration","2024","Illustration","Illustration, Vector","Illustrator","In this Adobe Illustrator study, I recreated Rechnitz Hall using only geometric shapes and gradient shading. The challenge was to reduce real-world architecture to clean vector forms while preserving depth, light, and material cues. I established a perspective grid, blocked the building into simplified planes, and used controlled light-to-dark gradients to model volume and cast shadows with precision.

My Drawing I fundamentals guided value structure and edge control, which I then translated into a crisp digital workflow. The project strengthened my command of vector illustration, gradient-based rendering, and architectural simplification. The first image is my vector recreation; the second is the original reference.

Recognition: Published in The Monmouth Review 2024","","https://framerusercontent.com/images/sipvacpjOzP0Xh0Ie68Ev0b10.jpg","","https://framerusercontent.com/images/q7mUS8WE5xrXLGHAdlDwSMuqO78.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sunscape-poster","true","Sunscape Poster","2024","Graphic Design","Posters, Illustration, Type","Illustrator, Photoshop","Concert poster for Sunscape Valley. I built a warm desert scene with layered gradients and soft grain: ochre sky, peach–coral sun, mauve-violet mountains, and a small cactus for scale. The arced wordmark uses stretched psychedelic letterforms, while the lineup sits in a clean grid with corner date badges for quick scanning. The palette leans sunset and sand—apricot, coral, dusty rose, and deep plum—for a nostalgic, heat-haze vibe. Type hierarchy, margins, and bleed-safe edges were tuned for large-format print and social crops. See the full-size poster on the sunscape-poster page.","","https://framerusercontent.com/images/nab1TdNgbx7RuH0g7xPCcVxY3Y.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"currency-redesign","true","Currency Redesign","2024","Graphic Design","Illustration, Type","Illustrator, Photoshop","I reimagined U.S. currency through a Fender guitar lens, pairing legendary artists with their signature models. The set assigns a distinct, bill-specific palette for instant recognition: amber gold for the Telecaster ($50, Bruce Springsteen), crimson red for the Jazzmaster ($20, Kurt Cobain), moss green for the Starcaster ($5, Radiohead’s guitarist), and violet–lilac for the Stratocaster ($100, Jimi Hendrix). Each note uses a modular grid, bold denomination hierarchy, and an oversized guitar silhouette as a watermark shape.

Security-inspired detailing elevates the system: microprint patterns, mirrored numerals, serial indicators, and a vector Fender headstock emblem used as a repeating mark. Layered textures, controlled grain, and opacity masks blend photography with vector forms without muddying type. The result is a cohesive, high-contrast series that feels like real currency while celebrating rock history through color, typography, and meticulous print craft.","","https://framerusercontent.com/images/qYPlV5cnbRnMAlMCOXyvBybxM0o.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"selfbranding","true","Self Branding","2024","Brand Design","Logo Design, Identity System","Ilustrator","I designed my personal identity system starting with a custom AF monogram. The mark unites a triangular A with the F carved out in negative space, creating a sharp peak that reads as both initial and directional arrow. From that foundation I built a compact system: primary and stacked lockups, a repeating monogram pattern, and clear spacing rules on an 8-pt grid. The palette is deep navy with crisp white accents for professional contrast, plus light geometric line work that echoes the logo’s angles. Applications include a navy tee with vertical name treatment and corner bug, business cards featuring the tiled pattern back, and a signage mockup with clean typographic hierarchy. Consistent margins, alignment, and color ensure every piece feels like one brand.","","https://framerusercontent.com/images/BHO09x8eIkK5tMETMnLoO0oVSY.svg","","https://framerusercontent.com/images/F7vzMee7kb3Pp6uuH5Qc1O1XFYM.jpg","","https://framerusercontent.com/images/svjAMleUhD7eogteyHwLb4eKgo.jpg","","https://framerusercontent.com/images/xMJN21PGdJhDiOSMQpPpfrA39g.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"space-widgets","true","Space Themed App Widgets","2024","Graphic Design","Widgets, Illustration","Illustrator","A cohesive iOS widget and icon pack built around a space motif. I established a modular grid with consistent corner radii, stroke weights, and padding so every glyph feels related. The visual language leans on orbits, radar rings, and soft planetary gradients. The palette pairs deep navy and teal bases with a sci-fi green glow to pop on dark wallpapers. Set includes a UFO “Find My” beacon, orbital rings for Fitness, a lunar Weather tile, a radar-style Maps icon, Podcasts, and a clean analog Clock. Designed through rounds of sketching and iteration, then redrawn in Illustrator using reusable components and exported at multiple sizes. The result is polished, readable, and ready for daily use.","","https://framerusercontent.com/images/qg3iZKEHInDnDwq28A3rPkxVw.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"trackerapp","true","Tracker App","2022","UI/UX","UI/UX, App Design","Figma","One of my first end-to-end app designs and a great marker of my growth. I built Tracker as a dark-themed productivity hub that centralizes reminders, tasks, appointments, and light stats. The home screen uses color-coded tiles for quick scanning, backed by a strict 8-pt spacing system, consistent corner radii, and a clear type hierarchy. I created a reusable component library in Figma with Auto Layout, variants, and defined states for hover, active, success, and error. Core flows include onboarding, creating and organizing lists, scheduling items, and reviewing progress. The result is a fully clickable prototype that feels polished and coherent across screens, clean, legible, and ready for daily use.","","https://framerusercontent.com/images/jHjKUNUrvh3IyVIHX7uAZ6svI.svg","","https://framerusercontent.com/images/BreSdmDJe6HtMa4FvdC6Cw6fONI.svg","","https://framerusercontent.com/images/4i2zhAudLpc0joEbvATIFQ3o0M.svg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"color-collages","true","Color Collages","2023","Graphic Design","Mixed Media, Posters","Scanner, Photoshop, Illustrator","A four-piece collage series that blends hand work with digital craft. I built physical compositions from textured papers, foil, and found imagery, then scanned everything at high resolution. In Photoshop I curated the fragments, established a clean grid, and unified the set with a green-led palette—emerald, chartreuse, moss, and aqua. Masking, blend modes, controlled opacity, and subtle grain preserved paper tooth and edge detail, while vector accents in Illustrator added crisp planetary geometry and alignment. Final prints were prepared with consistent margins and color profiles for gallery presentation.

Recognition: Published in The Monmouth Review 2023","","https://framerusercontent.com/images/JjZjlt3jAK1QQfD1AtwcRBstghg.jpg","","https://framerusercontent.com/images/oc2a1uBMjQatD7xkTjdGlLCDxA.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"minimalist-poster","true","Minimalist Poster","2024","Graphic Design","Posters, Type, Illustration","Illustrator, Photoshop","A minimalist poster for Whiplash built around rhythm, tension, and control. I used a strict grid and bold display letterforms to split the title into two punchy blocks WHIP and LASH! so the type itself feels percussive. Diagonal drumsticks and a cymbal silhouette cut across the frame to suggest motion and timing. The palette channels brass and stage light: warm amber–gold gradients against near-black for high contrast and drama. Careful kerning, generous margins, and bleed-safe edges keep the layout razor clean, while subtle grain adds cinematic texture for print. The result is a striking, restrained composition that captures the film’s precision and intensity without a single wasted element.","","https://framerusercontent.com/images/n5vYGlWJuuSnFxj6gptR4WAKSFg.jpg","","https://framerusercontent.com/images/7ixCJ5lz3lrb0JwxC3v7WlHgs.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"charcole","true","Charcole","2023-24","Illustration","Drawing","Charcole, Sanguine","Before college I’d barely drawn and was honestly nervous about it. Studying classical methods at Monmouth changed that fast. I learned a disciplined process, gesture to block-in, measuring and sighting, grouping values, and controlling edges, using charcoal and sanguine on toned papers. Each session started with a light lay-in and plumb lines, then massed shadow shapes, lifted lights with a kneaded eraser, and finished with confident accents in compressed charcoal and sanguine. Across figure, skull, and still-life studies, you can see the progression from tentative marks to clear proportion, believable light, and purposeful line. This work turned drawing from a fear into a foundation I now bring to everything else I design.","","https://framerusercontent.com/images/mPhdcX3B7pK0fxBwXbXTPGCSA.jpg","","https://framerusercontent.com/images/0BvmD8vzBCHs2SySOi7NUeUNE.jpg","","https://framerusercontent.com/images/NH240VnosKN9AUd1DslpUk9SrOI.jpg","","https://framerusercontent.com/images/lD5FtQuF4RzWjTynMdp8arAk9RI.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
